indoorHumid,indoorTemp,outsideHumid,outsideTemp,boxHumid,boxTemp,cpuTemp,cpuFreq,storageUsed,time
73.0,12.4,77.1,9.8,62.0,13.0,29.69,600.0,2.85,00:00:06
73.0,12.4,77.1,9.8,62.1,12.9,29.21,600.0,2.85,00:00:12
73.0,12.5,77.2,9.8,62.0,13.0,28.72,600.0,2.85,00:00:22
73.0,12.4,77.2,9.8,62.1,13.0,29.21,600.0,2.85,00:00:28
72.9,12.4,77.4,9.8,62.1,13.0,30.67,600.0,2.85,00:00:35
73.0,12.4,77.5,9.8,62.1,13.0,30.18,600.0,2.85,00:00:44
73.0,12.4,77.5,9.8,62.0,12.9,30.67,1800.0,2.85,00:00:50
73.0,12.4,77.6,9.8,62.1,12.9,30.18,600.0,2.85,00:00:57
73.0,12.4,77.7,9.8,62.1,12.9,29.69,600.0,2.85,00:01:04
73.0,12.4,77.8,9.8,62.1,12.9,29.69,600.0,2.85,00:01:13
73.0,12.4,77.9,9.8,62.1,12.9,30.18,600.0,2.85,00:01:19
73.0,12.4,77.9,9.8,62.1,12.9,28.72,600.0,2.85,00:01:26
73.0,12.4,77.9,9.8,62.1,12.9,29.21,600.0,2.85,00:01:32
73.0,12.4,77.9,9.8,62.1,12.9,28.72,600.0,2.85,00:01:42
73.0,12.4,78.0,9.8,62.1,12.9,28.72,600.0,2.85,00:01:51
73.0,12.4,78.1,9.8,62.1,12.9,29.69,600.0,2.85,00:02:02
73.0,12.4,78.1,9.8,62.1,12.9,29.21,600.0,2.85,00:02:11
73.0,12.4,78.1,9.8,62.2,12.9,30.18,600.0,2.85,00:02:18
73.0,12.4,78.1,9.8,62.1,12.9,29.69,600.0,2.85,00:02:25
73.0,12.4,78.1,9.8,62.1,12.9,29.21,600.0,2.85,00:02:31
73.0,12.4,78.2,9.8,62.1,12.9,29.21,600.0,2.85,00:02:38
73.0,12.4,78.2,9.8,62.1,12.9,29.69,600.0,2.85,00:02:47
73.0,12.4,78.1,9.9,62.2,12.9,29.69,600.0,2.85,00:02:56
73.1,12.4,78.1,9.9,62.1,12.9,30.18,600.0,2.85,00:03:03
73.0,12.3,78.2,9.8,62.2,12.9,29.69,600.0,2.85,00:03:09
73.0,12.3,78.3,9.9,62.2,12.9,30.18,600.0,2.85,00:03:16
73.0,12.3,78.5,9.9,62.2,12.9,30.67,600.0,2.85,00:03:22
73.0,12.3,78.5,9.9,62.2,12.9,29.21,600.0,2.85,00:03:29
73.0,12.3,78.6,10.0,62.2,12.9,30.18,600.0,2.85,00:03:36
73.0,12.3,78.7,10.0,62.2,12.9,29.69,600.0,2.85,00:03:42
